log_level,timestamp
DEBUG,2014-09-20 15:22:29
DEBUG,2017-04-12 07:03:30
WARN,2014-04-10 17:30:37
ERROR,2017-09-29 06:55:28
INFO,2015-04-07 12:16:40
INFO,2016-08-15 06:49:08
DEBUG,2016-03-03 22:25:54
INFO,2016-05-28 20:32:42
WARN,2014-05-07 19:58:34
WARN,2016-02-22 10:17:27
DEBUG,2015-06-04 00:33:42
INFO,2012-06-28 18:01:27
DEBUG,2015-12-07 01:03:22
WARN,2014-07-20 01:43:30
ERROR,2012-09-05 03:54:04
DEBUG,2012-08-21 06:12:09
DEBUG,2015-05-03 07:16:44
ERROR,2015-01-01 23:13:33
ERROR,2014-09-06 16:59:50
INFO,2015-10-11 10:30:30
ERROR,2012-10-09 09:26:40
ERROR,2016-02-10 08:17:57
INFO,2014-08-17 15:15:13
INFO,2015-05-26 04:02:53
DEBUG,2014-01-27 00:58:06
INFO,2015-08-18 16:01:52
WARN,2014-09-11 18:08:40
WARN,2017-07-23 17:10:54
ERROR,2013-08-14 14:15:12
DEBUG,2017-04-07 09:03:36
DEBUG,2017-11-11 16:44:34
DEBUG,2013-08-23 20:22:11
WARN,2017-12-03 23:46:57
INFO,2014-01-31 02:28:22
